total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,Player_pid
39,576,3,3,2,5,0,0,0,3,1,0,0,163.2,189.6,247.0,59.7,237
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,238
74,1006,10,1,2,13,0,0,1,3,1,0,789,394.4,193.2,881.0,146.4,239
28,677,2,0,3,12,0,0,0,1,0,0,249,102.8,116.8,271.0,49.0,240
37,301,3,3,1,3,0,0,0,0,0,0,242,179.0,152.3,323.0,64.9,241
44,1260,0,0,4,16,0,0,0,1,0,30,368,230.4,0.0,0.0,22.9,242
0,0,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,243
19,453,1,0,1,9,0,0,0,0,0,0,381,124.4,2.7,41.0,16.8,244
8,360,0,0,0,4,0,0,0,0,0,0,64,100.0,13.9,22.0,13.6,245
0,0,0,0,0,0,0,0,0,0,0,0,36,0.0,0.0,0.0,0.0,246
28,525,0,1,3,5,0,0,0,0,0,0,92,79.2,73.7,37.0,19.0,247
14,489,0,0,1,6,0,0,0,1,0,0,192,133.0,38.3,38.0,20.9,248
12,353,0,0,1,9,1,0,0,0,0,0,28,30.6,51.1,28.0,10.7,249
35,1051,0,0,3,13,0,0,0,2,0,0,186,235.8,259.5,60.0,55.5,250
18,423,0,0,2,3,0,0,0,1,0,0,257,59.8,33.7,10.0,10.3,251
0,0,0,0,0,0,0,0,0,0,0,0,123,0.0,0.0,0.0,0.0,252
1,1,0,0,0,0,0,0,0,0,0,0,40,0.0,0.0,0.0,0.0,253
47,837,0,2,4,10,0,0,0,0,0,0,477,269.2,211.2,29.0,50.9,254
30,771,0,0,3,10,0,0,0,3,0,0,0,192.0,7.4,27.0,22.8,255
47,745,3,1,5,8,0,0,0,2,0,0,586,243.4,334.0,316.0,89.4,256
15,705,0,0,3,10,0,0,0,6,0,0,164,132.8,123.4,57.0,30.8,257
3,24,0,0,0,1,0,0,0,1,0,0,259,1.2,1.8,4.0,0.7,258
7,283,0,0,0,3,0,0,0,0,0,0,275,60.2,8.9,5.0,7.3,259
6,237,0,0,1,3,0,0,0,1,0,0,178,42.6,16.8,18.0,7.8,260
10,504,0,0,0,14,0,0,0,0,1,0,33,56.8,153.1,113.0,32.4,261
21,834,0,1,2,10,0,0,0,2,1,0,307,205.8,188.3,78.0,47.4,262
0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0,0.0,263
3,14,0,0,0,1,0,0,0,0,0,0,317,1.6,4.9,2.0,0.9,264
0,0,0,0,0,0,0,0,0,0,0,0,200,0.0,0.0,0.0,0.0,265
17,418,0,1,2,7,0,0,0,0,0,0,318,89.8,202.4,166.0,45.8,266
33,465,1,3,3,4,0,0,0,0,0,0,593,127.2,147.2,158.0,43.3,267
8,217,0,0,1,2,0,0,0,0,0,0,0,45.0,75.7,103.0,22.3,268
33,652,1,4,2,9,0,0,0,4,0,0,509,175.4,295.7,205.0,67.8,269
0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,270
30,736,3,0,2,12,0,0,0,1,0,0,237,144.0,173.3,312.0,62.9,271
70,1170,8,1,4,15,0,0,0,4,0,0,0,331.8,354.5,929.0,161.0,272
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,273
39,1080,0,0,3,14,0,0,0,1,0,28,0,220.6,0.0,0.0,22.1,274
20,390,1,0,2,5,0,0,0,2,0,0,0,120.6,8.3,64.0,19.4,275
35,900,0,2,2,12,0,0,0,1,0,0,0,235.8,88.7,89.0,41.5,276
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,277
53,1260,1,0,4,15,0,0,0,0,0,0,0,334.0,17.3,37.0,38.8,278
10,320,0,0,1,5,0,0,0,0,0,0,0,47.6,31.9,38.0,11.9,279
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,280
3,122,0,0,0,2,0,0,0,0,0,0,0,8.4,20.5,33.0,6.0,281
38,917,1,2,2,12,0,0,0,1,0,0,0,168.0,283.0,164.0,61.5,282
23,936,0,0,4,10,0,0,0,3,0,0,0,142.2,74.0,15.0,23.0,283
2,30,0,0,0,0,0,0,0,0,0,0,0,5.4,14.2,8.0,2.7,284
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,285
33,1149,0,1,4,13,0,0,0,2,0,0,0,135.4,209.7,78.0,42.2,286
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,287
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,288
17,251,0,2,1,4,0,0,0,0,0,0,0,44.2,56.2,108.0,20.9,289
24,862,1,0,2,11,0,0,0,3,0,0,0,90.8,70.8,84.0,24.5,290
4,43,0,0,0,0,0,0,0,0,0,0,0,3.4,3.3,2.0,0.7,291
5,107,0,0,0,1,0,0,0,0,0,0,0,18.4,25.7,64.0,10.8,292
29,532,3,0,1,8,0,0,0,3,0,0,0,138.0,72.2,97.0,30.4,293
44,1260,0,0,5,15,0,0,0,2,0,19,233,148.4,10.0,0.0,15.8,294
0,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,295
38,797,0,1,5,9,0,0,0,2,0,0,415,133.6,121.9,62.0,31.8,296
46,1170,0,0,5,14,0,0,0,1,0,0,487,253.4,43.8,78.0,37.5,297
5,180,0,1,0,3,0,0,0,1,0,0,152,33.2,20.6,43.0,9.7,298
6,283,0,0,0,4,0,0,0,0,0,0,169,55.8,81.6,9.0,14.7,299
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,300
38,822,0,0,4,9,0,0,0,1,0,0,320,194.0,233.8,41.0,47.0,301
13,346,0,0,1,4,0,0,0,0,0,0,203,49.4,61.2,14.0,12.3,302
46,1260,0,0,5,15,0,0,0,3,0,0,452,366.2,54.5,156.0,57.7,303
54,1231,3,0,5,15,0,0,0,1,0,0,379,215.8,400.8,426.0,104.5,304
